date,state,daily
2019-12-19,Malaysia,2085
2019-12-20,Malaysia,1352
2019-12-21,Malaysia,768
2019-12-22,Malaysia,1001
2019-12-23,Malaysia,2120
2019-12-24,Malaysia,2050
2019-12-25,Malaysia,302
2019-12-26,Malaysia,1632
2019-12-27,Malaysia,1401
2019-12-28,Malaysia,823
2019-12-29,Malaysia,943
2019-12-30,Malaysia,1960
2019-12-31,Malaysia,1840
2020-01-01,Malaysia,813
2020-01-02,Malaysia,1771
2020-01-03,Malaysia,1064
2020-01-04,Malaysia,667
2020-01-05,Malaysia,860
2020-01-06,Malaysia,1795
2020-01-07,Malaysia,2106
2020-01-08,Malaysia,2079
2020-01-09,Malaysia,1809
2020-01-10,Malaysia,1109
2020-01-11,Malaysia,899
2020-01-12,Malaysia,970
2020-01-13,Malaysia,1832
2020-01-14,Malaysia,1697
2020-01-15,Malaysia,1820
2020-01-16,Malaysia,1714
2020-01-17,Malaysia,1208
2020-01-18,Malaysia,976
2020-01-19,Malaysia,978
2020-01-20,Malaysia,1819
2020-01-21,Malaysia,1763
2020-01-22,Malaysia,2016
2020-01-23,Malaysia,1135
2020-01-24,Malaysia,619
2020-01-25,Malaysia,78
2020-01-26,Malaysia,267
2020-01-27,Malaysia,357
2020-01-28,Malaysia,1347
2020-01-29,Malaysia,1666
2020-01-30,Malaysia,1433
2020-01-31,Malaysia,1001
2020-02-01,Malaysia,465
2020-02-02,Malaysia,1041
2020-02-03,Malaysia,1748
2020-02-04,Malaysia,1724
2020-02-05,Malaysia,1746
2020-02-06,Malaysia,1678
2020-02-07,Malaysia,1149
2020-02-08,Malaysia,622
2020-02-09,Malaysia,1071
2020-02-10,Malaysia,1665
2020-02-11,Malaysia,1617
2020-02-12,Malaysia,2013
2020-02-13,Malaysia,1868
2020-02-14,Malaysia,1410
2020-02-15,Malaysia,794
2020-02-16,Malaysia,1188
2020-02-17,Malaysia,2169
2020-02-18,Malaysia,2107
2020-02-19,Malaysia,2384
2020-02-20,Malaysia,1793
2020-02-21,Malaysia,1217
2020-02-22,Malaysia,1011
2020-02-23,Malaysia,1482
2020-02-24,Malaysia,2208
2020-02-25,Malaysia,1863
2020-02-26,Malaysia,1905
2020-02-27,Malaysia,1831
2020-02-28,Malaysia,1254
2020-02-29,Malaysia,905
2020-03-01,Malaysia,1058
2020-03-02,Malaysia,1599
2020-03-03,Malaysia,1570
2020-03-04,Malaysia,1559
2020-03-05,Malaysia,1556
2020-03-06,Malaysia,982
2020-03-07,Malaysia,763
2020-03-08,Malaysia,1050
2020-03-09,Malaysia,1536
2020-03-10,Malaysia,1729
2020-03-11,Malaysia,1566
2020-03-12,Malaysia,1286
2020-03-13,Malaysia,1089
2020-03-14,Malaysia,588
2020-03-15,Malaysia,862
2020-03-16,Malaysia,1243
2020-03-17,Malaysia,1049
2020-03-18,Malaysia,970
2020-03-19,Malaysia,583
2020-03-20,Malaysia,295
2020-03-21,Malaysia,58
2020-03-22,Malaysia,35
2020-03-23,Malaysia,53
2020-03-24,Malaysia,98
2020-03-25,Malaysia,133
2020-03-26,Malaysia,126
2020-03-27,Malaysia,83
2020-03-28,Malaysia,35
2020-03-29,Malaysia,28
2020-03-30,Malaysia,93
2020-03-31,Malaysia,115
2020-04-01,Malaysia,129
2020-04-02,Malaysia,94
2020-04-03,Malaysia,90
2020-04-04,Malaysia,47
2020-04-05,Malaysia,40
2020-04-06,Malaysia,119
2020-04-07,Malaysia,105
2020-04-08,Malaysia,139
2020-04-09,Malaysia,81
2020-04-10,Malaysia,92
2020-04-11,Malaysia,69
2020-04-12,Malaysia,91
2020-04-13,Malaysia,126
2020-04-14,Malaysia,141
2020-04-15,Malaysia,125
2020-04-16,Malaysia,128
2020-04-17,Malaysia,102
2020-04-18,Malaysia,62
2020-04-19,Malaysia,81
2020-04-20,Malaysia,179
2020-04-21,Malaysia,144
2020-04-22,Malaysia,166
2020-04-23,Malaysia,142
2020-04-24,Malaysia,133
2020-04-25,Malaysia,78
2020-04-26,Malaysia,58
2020-04-27,Malaysia,191
2020-04-28,Malaysia,138
2020-04-29,Malaysia,222
2020-04-30,Malaysia,151
2020-05-01,Malaysia,50
2020-05-02,Malaysia,61
2020-05-03,Malaysia,85
2020-05-04,Malaysia,194
2020-05-05,Malaysia,201
2020-05-06,Malaysia,170
2020-05-07,Malaysia,105
2020-05-08,Malaysia,147
2020-05-09,Malaysia,100
2020-05-10,Malaysia,104
2020-05-11,Malaysia,187
2020-05-12,Malaysia,242
2020-05-13,Malaysia,178
2020-05-14,Malaysia,204
2020-05-15,Malaysia,192
2020-05-16,Malaysia,109
